  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  4.9500     0.0000     0.0104                                                                      
  5.0000     0.0000     0.0096                                                                      
  5.0500     0.0000     0.0088                                                                      
  5.1000     0.0000     0.0081                                                                      
  5.1500     0.0000     0.0074                                                                      
  5.2000     0.0000     0.0068                                                                      
  5.2500     0.0000     0.0062                                                                      
  5.3000     0.0000     0.0057                                                                      
  5.3500     0.0000     0.0052                                                                      
  5.4000     0.0000     0.0047                                                                      
  5.4500     0.0000     0.0043                                                                      
  5.5000     0.0000     0.0039                                                                      
  5.5500     0.0000     0.0036                                                                      
       NPOINTS =      112                                                                           
Nelec (numeric) =   0.99816663                                                                      

  SCF Step    4                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.2250     0.0071                                                                      
  0.1000     0.2100     0.0264                                                                      
  0.1500     0.1908     0.0539                                                                      
  0.2000     0.1719     0.0864                                                                      
  0.2500     0.1551     0.1218                                                                      
  0.3000     0.1405     0.1589                                                                      
  0.3500     0.1275     0.1963                                                                      
  0.4000     0.1157     0.2326                                                                      
  0.4500     0.1049     0.2669                                                                      
  0.5000     0.0950     0.2985                                                                      
  0.5500     0.0861     0.3275                                                                      
  0.6000     0.0782     0.3536                                                                      
  0.6500     0.0710     0.3770                                                                      
  0.7000     0.0646     0.3976                                                                      
  0.7500     0.0588     0.4154                                                                      
  0.8000     0.0535     0.4304                                                                      
  0.8500     0.0487     0.4426                                                                      
  0.9000     0.0444     0.4520                                                                      
  0.9500     0.0405     0.4589                                                                      
  1.0000     0.0369     0.4632                                                                      
  1.0500     0.0336     0.4654                                                                      
  1.1000     0.0306     0.4654                                                                      
  1.1500     0.0279     0.4637                                                                      
  1.2000     0.0254     0.4603                                                                      
  1.2500     0.0232     0.4555                                                                      
  1.3000     0.0212     0.4495                                                                      
  1.3500     0.0193     0.4425                                                                      
  1.4000     0.0176     0.4346                                                                      
  1.4500     0.0161     0.4260                                                                      
  1.5000     0.0147     0.4167                                                                      
  1.5500     0.0135     0.4068                                                                      
  1.6000     0.0123     0.3966                                                                      
  1.6500     0.0113     0.3860                                                                      
  1.7000     0.0103     0.3752                                                                      
  1.7500     0.0095     0.3642                                                                      
  1.8000     0.0087     0.3531                                                                      
  1.8500     0.0080     0.3420                                                                      
  1.9000     0.0073     0.3309                                                                      
  1.9500     0.0067     0.3198                                                                      
  2.0000     0.0061     0.3088                                                                      
  2.0500     0.0056     0.2980                                                                      
  2.1000     0.0052     0.2874                                                                      
  2.1500     0.0048     0.2769                                                                      
  2.2000     0.0044     0.2667                                                                      
  2.2500     0.0040     0.2566                                                                      
  2.3000     0.0037     0.2468                                                                      
  2.3500     0.0034     0.2373                                                                      
  2.4000     0.0031     0.2280                                                                      
  2.4500     0.0029     0.2189                                                                      
  2.5000     0.0027     0.2101                                                                      
  2.5500     0.0025     0.2015                                                                      
  2.6000     0.0023     0.1932                                                                      
  2.6500     0.0021     0.1851                                                                      
  2.7000     0.0019     0.1772                                                                      
  2.7500     0.0018     0.1696                                                                      
  2.8000     0.0016     0.1622                                                                      
  2.8500     0.0015     0.1550                                                                      
  2.9000     0.0014     0.1480                                                                      
  2.9500     0.0013     0.1413                                                                      
  3.0000     0.0012     0.1347                                                                      
  3.0500     0.0011     0.1284                                                                      
  3.1000     0.0010     0.1222                                                                      
  3.1500     0.0009     0.1163                                                                      
  3.2000     0.0009     0.1106                                                                      
  3.2500     0.0008     0.1050                                                                      
  3.3000     0.0007     0.0997                                                                      
  3.3500     0.0007     0.0945                                                                      
  3.4000     0.0006     0.0896                                                                      
  3.4500     0.0006     0.0848                                                                      
  3.5000     0.0005     0.0802                                                                      
  3.5500     0.0005     0.0758                                                                      
  3.6000     0.0004     0.0716                                                                      
  3.6500     0.0004     0.0675                                                                      
  3.7000     0.0004     0.0637                                                                      
  3.7500     0.0003     0.0600                                                                      
  3.8000     0.0003     0.0564                                                                      
  3.8500     0.0003     0.0530                                                                      
  3.9000     0.0003     0.0498                                                                      
  3.9500     0.0002     0.0467                                                                      
  4.0000     0.0002     0.0438                                                                      
  4.0500     0.0002     0.0411                                                                      
  4.1000     0.0002     0.0384                                                                      
  4.1500     0.0002     0.0359                                                                      
  4.2000     0.0002     0.0336                                                                      
  4.2500     0.0001     0.0313                                                                      
  4.3000     0.0001     0.0292                                                                      
  4.3500     0.0001     0.0272                                                                      
  4.4000     0.0001     0.0253                                                                      
  4.4500     0.0001     0.0236                                                                      
  4.5000     0.0001     0.0219                                                                      
  4.5500     0.0001     0.0203                                                                      
  4.6000     0.0001     0.0188                                                                      
  4.6500     0.0001     0.0175                                                                      
  4.7000     0.0001     0.0162                                                                      
  4.7500     0.0001     0.0149                                                                      
  4.8000     0.0000     0.0138                                                                      
  4.8500     0.0000     0.0127                                                                      
  4.9000     0.0000     0.0117                                                                      
  4.9500     0.0000     0.0108                                                                      
  5.0000     0.0000     0.0100                                                                      
  5.0500     0.0000     0.0092                                                                      
  5.1000     0.0000     0.0084                                                                      
  5.1500     0.0000     0.0077                                                                      
  5.2000     0.0000     0.0071                                                                      
  5.2500     0.0000     0.0065                                                                      
  5.3000     0.0000     0.0059                                                                      
  5.3500     0.0000     0.0054                                                                      
  5.4000     0.0000     0.0049                                                                      
  5.4500     0.0000     0.0045                                                                      
  5.5000     0.0000     0.0041                                                                      
  5.5500     0.0000     0.0037                                                                      
       NPOINTS =      112                                                                           
Nelec (numeric) =   0.99809340                                                                      

  SCF Step    5                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.2260     0.0071                                                                      
  0.1000     0.2108     0.0265                                                                      
